Name;Alter;Politische Orientierung;Bildungsabschluss;Soziales;Wohnlage;CO2-Fußabdruck;Bewertung
Oliver;68;Links;ohne;2;Großstadt;6.5;662
Annemie;21;Mitte;Ausbildung;1;Kleinstadt;7.5;909
Anny;47;Mitte;Ausbildung;0;Großstadt;9.5;946
Roberto;46;Links;Ausbildung;1;Großstadt;9.5;712
Jo;38;Links;Master;0;Großstadt;7.0;729
Monja;23;Links;Ausbildung;2;Großstadt;7.5;990
Hanny;75;Mitte;Promotion;0;Großstadt;8.0;1076
Gertrude;25;Mitte;Ausbildung;0;Großstadt;7.5;983
Janett;63;Mitte;Diplom;2;Großstadt;7.0;1180
Severin;36;Links;Ausbildung;1;Kleinstadt;6.5;1034
Elvira;29;Mitte;Master;0;Großstadt;7.5;847
Leonie;20;Rechts;ohne;0;Großstadt;9.5;601
Rosa-Maria;41;Mitte;ohne;0;Großstadt;7.0;837
Luzia;44;Mitte;Ausbildung;2;Kleinstadt;5.0;1222
Sarina;45;Mitte;Fachschulabschluss;0;Großstadt;7.0;1000
Marcus;29;Links;Bachelor;2;Großstadt;6.0;666
Ludmilla;28;Mitte;Fachschulabschluss;0;Ländlich;8.5;994
Arnfried;40;Rechts;ohne;0;Kleinstadt;9.5;744
Melita;56;Rechts;ohne;0;Kleinstadt;9.5;734
Johanne;35;Mitte;Ausbildung;0;Großstadt;6.0;1014
Jutta;51;Mitte;Ausbildung;1;Kleinstadt;8.0;1094
Viviane;27;Mitte;Master;0;Großstadt;9.0;800
Mathias;26;Mitte;Master;0;Ländlich;7.5;840
Meinrad;33;Links;Fachschulabschluss;2;Vorort;8.0;1059
Henry;29;Mitte;Ausbildung;0;Kleinstadt;6.0;1073
Dorina;28;Mitte;ohne;2;Großstadt;7.0;745
Ulla;58;Mitte;Ausbildung;0;Großstadt;9.0;945
Wolfhard;53;Mitte;Ausbildung;0;Kleinstadt;9.5;997
Marisa;55;Links;Fachschulabschluss;0;Großstadt;7.5;894
Edgar;77;Mitte;Ausbildung;0;Großstadt;7.5;980
Gloria;69;Links;Ausbildung;0;Großstadt;7.5;666
Ditmar;73;Mitte;Diplom;2;Großstadt;9.0;1147
Waltraud;22;Links;ohne;0;Großstadt;8.5;710
Heinz-Günther;34;Mitte;ohne;0;Kleinstadt;9.0;859
Alex;23;Mitte;Master;0;Großstadt;7.0;1040
Tülay;78;Mitte;ohne;0;Vorort;9.0;852
Ortrun;21;Links;Ausbildung;2;Großstadt;6.0;622
Madeleine;66;Mitte;Ausbildung;0;Großstadt;10.0;923
Siglinde;51;Mitte;Diplom;2;Großstadt;4.5;1302
Doreen;71;Mitte;ohne;0;Großstadt;8.0;821
Jovan;69;Mitte;Diplom;1;Großstadt;5.5;1196
Carolin;72;Links;Ausbildung;0;Kleinstadt;9.0;889
Rosina;39;Mitte;Fachschulabschluss;2;Großstadt;6.5;1146
Hinrich;28;Mitte;Ausbildung;0;Großstadt;7.5;980
Donata;39;Rechts;Ausbildung;0;Großstadt;7.0;876
Irene;79;Mitte;Ausbildung;0;Großstadt;8.5;980
Frederic;72;Mitte;Fachschulabschluss;0;Großstadt;10.0;945
Alexandra;43;Rechts;Ausbildung;0;Großstadt;9.0;847
Mia;39;Rechts;Fachschulabschluss;0;Großstadt;7.0;897
Hansjörg;37;Mitte;Diplom;0;Großstadt;6.5;1097
Edit;74;Mitte;ohne;0;Großstadt;8.0;828
Siegrun;38;Mitte;Diplom;0;Großstadt;6.5;1096
Ulrike;58;Mitte;Fachschulabschluss;2;Kleinstadt;9.0;1138
Margaret;28;Mitte;Ausbildung;0;Kleinstadt;9.0;1004
Cord;37;Mitte;Diplom;0;Kleinstadt;8.5;1111
Elias;46;Rechts;Fachschulabschluss;2;Großstadt;7.5;1006
Chantal;77;Links;Diplom;0;Kleinstadt;8.0;997
Dursun;47;Rechts;Bachelor;1;Vorort;9.0;1005
Ronald;79;Links;ohne;0;Großstadt;6.5;603
Leo;57;Links;Ausbildung;1;Großstadt;7.5;941
Antje;41;Rechts;Ausbildung;0;Großstadt;8.5;860
Ernst-Otto;40;Links;Ausbildung;1;Großstadt;8.0;933
Christopher;77;Mitte;Diplom;1;Großstadt;8.5;1126
