Name;Alter;Politische Orientierung;Bildungsabschluss;Soziales;Wohnlage;CO2-Fußabdruck
Lilija;26;Mitte;Ausbildung;3;Großstadt;6.0
Ingrid;63;Mitte;Ausbildung;1;Großstadt;7.0
Serpil;48;Rechts;Ausbildung;0;Großstadt;7.5
Maja;28;Mitte;Diplom;0;Großstadt;7.5
Anja;46;Rechts;Ausbildung;0;Kleinstadt;7.5
Susana;39;Mitte;ohne;0;Großstadt;7.0
Walter;54;Mitte;Ausbildung;0;Großstadt;6.5
Sylke;50;Mitte;Ausbildung;3;Ländlich;7.5
Etta;49;Rechts;Diplom;0;Kleinstadt;8.0
Juliana;57;Links;Ausbildung;1;Vorort;8.5
Clara;62;Mitte;Ausbildung;0;Großstadt;10.5
Franz-Xaver;66;Mitte;Diplom;1;Großstadt;8.0
Samir;61;Rechts;Ausbildung;0;Großstadt;9.0
Sieghard;26;Mitte;Diplom;2;Großstadt;6.5
Lieselotte;47;Mitte;Ausbildung;0;Großstadt;7.5
Ferdi;55;Links;ohne;0;Großstadt;5.5
Romuald;41;Mitte;ohne;0;Großstadt;7.5
Bastian;79;Mitte;Ausbildung;2;Großstadt;9.0
Elias;52;Rechts;Fachschulabschluss;0;Ländlich;10.5
Mareen;78;Links;Ausbildung;0;Großstadt;8.5
Philip;64;Mitte;ohne;1;Ländlich;9.0
Rainer;45;Mitte;Ausbildung;3;Großstadt;9.0
Ilse;31;Mitte;ohne;0;Großstadt;6.5
Faruk;53;Mitte;Fachschulabschluss;0;Großstadt;7.0
Cecilia;26;Mitte;Bachelor;3;Großstadt;4.5
Elly;48;Rechts;Master;0;Kleinstadt;9.0
Hanna;63;Mitte;Ausbildung;0;Ländlich;8.5
Myriam;67;Rechts;Ausbildung;0;Vorort;7.0
Jolanda;78;Mitte;Fachschulabschluss;0;Ländlich;10.0
Marek;56;Rechts;Ausbildung;2;Kleinstadt;6.5
Ludger;28;Mitte;Bachelor;0;Großstadt;7.5
David;58;Links;Ausbildung;0;Kleinstadt;9.0
Norman;63;Mitte;Ausbildung;0;Großstadt;9.0
Gundel;49;Links;Ausbildung;2;Kleinstadt;8.5
Hakan;66;Mitte;Ausbildung;1;Ländlich;8.5
Songül;20;Mitte;Diplom;0;Ländlich;7.5
Ruben;27;Mitte;Ausbildung;2;Großstadt;7.5
Emmi;76;Rechts;Ausbildung;1;Großstadt;8.5
Angela;65;Mitte;Diplom;1;Großstadt;8.0
Marija;26;Mitte;Ausbildung;0;Großstadt;9.0
Elvira;20;Mitte;Ausbildung;0;Großstadt;8.5
Slawomir;41;Mitte;Ausbildung;0;Großstadt;7.5
Natalie;51;Rechts;ohne;2;Ländlich;10.5
Herlinde;67;Rechts;Ausbildung;0;Großstadt;9.5
Helfried;54;Links;ohne;0;Ländlich;9.0
Daria;75;Links;Ausbildung;0;Großstadt;7.0
Holm;36;Mitte;Ausbildung;1;Kleinstadt;10.0
Tanja;32;Mitte;Ausbildung;1;Großstadt;6.5
Kirstin;21;Links;ohne;3;Kleinstadt;8.5
Edeltraut;35;Rechts;Master;0;Kleinstadt;9.5
Rüdiger;42;Mitte;Ausbildung;0;Großstadt;10.0
Siegward;77;Links;Ausbildung;3;Großstadt;8.5
Robin;75;Mitte;Ausbildung;1;Ländlich;9.5
Leonardo;63;Mitte;Ausbildung;1;Großstadt;7.5
Bernfried;66;Mitte;Fachschulabschluss;0;Großstadt;9.5
Liliana;23;Links;Diplom;0;Ländlich;7.0
Ludmilla;77;Mitte;ohne;0;Ländlich;10.0
Nermin;22;Mitte;Ausbildung;0;Ländlich;10.0
Sandor;60;Mitte;Diplom;0;Großstadt;8.0
Franz-Peter;22;Rechts;Ausbildung;2;Großstadt;7.5
Liesel;57;Mitte;Fachschulabschluss;0;Großstadt;8.5
Alina;52;Mitte;Diplom;0;Ländlich;11.0
Jan-Peter;47;Mitte;Ausbildung;1;Großstadt;7.5
Meike;65;Links;Ausbildung;3;Großstadt;9.0
Urte;64;Mitte;ohne;1;Großstadt;6.5
